date,general funds
1/1/80,24475.4619558335
1/1/81,22316.6127609754
1/1/82,21281.5864230194
1/1/83,20164.4234518604
1/1/84,24827.759761148
1/1/85,26375.3581713039
1/1/86,27241.2061341547
1/1/87,26960.0175806695
1/1/88,26222.4540816166
1/1/89,25932.2386817798
1/1/90,24812.838297623
1/1/91,23400.8998761755
1/1/92,20548.3055692916
1/1/93,19299.564115054
1/1/94,19174.4162837975
1/1/95,19315.8717194878
1/1/96,19973.2703768883
1/1/97,20375.6824456464
1/1/98,22652.8941204643
1/1/99,23257.7973467868
1/1/00,25618.7285714387
1/1/01,23965.1788854394
1/1/02,21125.4867893218
1/1/03,18274.3658675538
1/1/04,16789.9973927473
1/1/05,16751.8351456134
1/1/06,16867.7758710671
1/1/07,16805.9985803841
1/1/08,11644.1910215803
1/1/09,12292.2355715587
1/1/10,13449.568298912
1/1/11,10088.7100108207
1/1/12,10290.9616971846
1/1/13,11088.1140757884
1/1/14,11254.4543698696